,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
3432,3702_01,Mars,True,E/220/P,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,Tors Ramad,False
1995,2133_02,Mars,True,F/416/S,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,Elfs Chrie,True
3895,4172_07,Mars,False,D/141/P,TRAPPIST-1e,19.0,False,154.0,170.0,2074.0,0.0,0.0,Corsh Flell,True
7323,7837_01,Europa,True,B/306/S,55 Cancri e,44.0,False,0.0,0.0,0.0,0.0,0.0,Taurah Kiling,True
3690,3964_01,Earth,True,G/650/S,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,Estina Chanan,True
8248,8813_01,Earth,False,G/1421/S,PSO J318.5-22,41.0,False,413.0,0.0,0.0,7.0,347.0,,False
7623,8143_01,Earth,False,F/1558/S,TRAPPIST-1e,18.0,False,0.0,17.0,5.0,0.0,712.0,Sergia Vines,True
7680,8202_01,Europa,False,C/306/S,TRAPPIST-1e,4.0,False,0.0,,0.0,,0.0,Ainons Unkcatted,True
831,0889_01,Europa,False,C/32/P,TRAPPIST-1e,48.0,False,0.0,0.0,0.0,0.0,0.0,Marfak Polksy,False
908,0982_02,Earth,False,G/145/P,TRAPPIST-1e,51.0,False,,,4.0,0.0,0.0,Joyton Hewson,False
7278,7783_01,Mars,True,F/1487/S,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,Tous Wate,True
420,0456_01,Earth,False,F/83/S,TRAPPIST-1e,55.0,False,210.0,185.0,188.0,59.0,73.0,Lulah Hinetthews,False
2760,2968_01,Earth,True,G/485/P,TRAPPIST-1e,43.0,False,0.0,,0.0,0.0,0.0,Evendy Sosalinson,True
8206,8770_07,Earth,False,F/1808/P,TRAPPIST-1e,17.0,False,0.0,810.0,66.0,0.0,0.0,Raque Waderoachez,True
6233,6593_01,Earth,False,F/1370/P,PSO J318.5-22,,False,0.0,67.0,661.0,0.0,0.0,Keitha Matts,True
8166,8728_05,Earth,True,G/1416/P,55 Cancri e,18.0,False,0.0,0.0,0.0,0.0,0.0,Weslie Fulloydez,True
194,0217_01,Earth,False,F/47/P,TRAPPIST-1e,38.0,False,1517.0,0.0,0.0,27.0,0.0,Prilly Shieldson,False
290,0320_02,Earth,False,G/44/S,TRAPPIST-1e,21.0,False,0.0,5.0,3.0,0.0,,Garley Bellarkerd,False
3209,3454_01,Earth,True,G/568/P,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,Brance Byerson,False
7630,8147_03,Earth,False,G/1317/P,TRAPPIST-1e,42.0,False,18.0,5.0,470.0,356.0,57.0,Jeroy Pittler,False
4231,4502_01,Mars,True,E/281/P,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Triple Jamai,False
7872,8398_02,Europa,True,B/329/S,,41.0,False,0.0,0.0,0.0,0.0,0.0,Aldus Stradick,True
6697,7069_01,Earth,False,E/472/S,TRAPPIST-1e,22.0,False,0.0,125.0,0.0,663.0,0.0,,False
6588,6951_01,Europa,False,D/219/P,TRAPPIST-1e,37.0,False,26.0,2898.0,9.0,0.0,40.0,Vegas Lendly,True
3900,4176_02,Mars,True,F/859/P,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,0.0,Lidex Opité,True
2731,2929_01,Earth,True,G/467/S,PSO J318.5-22,48.0,False,0.0,0.0,0.0,0.0,0.0,Alancy Mcbritts,True
1921,2056_01,Earth,True,G/331/P,TRAPPIST-1e,52.0,False,0.0,0.0,0.0,0.0,0.0,Marynk Hanghanson,False
1141,1211_01,Earth,True,G/186/S,PSO J318.5-22,53.0,False,0.0,0.0,0.0,0.0,0.0,Andyn Alvasquez,False
963,1024_04,Earth,False,G/152/P,55 Cancri e,0.0,False,0.0,0.0,0.0,0.0,0.0,Bethew Chavezalez,False
5461,5822_01,Earth,True,G/939/P,TRAPPIST-1e,12.0,False,0.0,0.0,0.0,0.0,0.0,Joandy Chapmaney,True
4276,4555_01,Earth,False,G/743/S,TRAPPIST-1e,21.0,False,29.0,27.0,47.0,694.0,11.0,Claine Wiggs,False
6318,6675_01,Earth,,F/1388/P,TRAPPIST-1e,60.0,False,707.0,24.0,0.0,0.0,170.0,Derry Gouldensen,False
6239,6601_01,Earth,False,F/1372/P,TRAPPIST-1e,24.0,False,2.0,0.0,0.0,52.0,638.0,Debora Farrez,False
3700,3974_02,Earth,True,G/652/S,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Janee Davens,True
3864,4143_01,Mars,True,E/258/P,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,Heales Buncy,False
2812,3032_02,Earth,True,G/478/S,TRAPPIST-1e,4.0,False,0.0,0.0,0.0,0.0,0.0,Loresa Wolfernan,False
4117,4395_01,Earth,False,F/905/P,TRAPPIST-1e,23.0,False,0.0,0.0,206.0,681.0,31.0,Fayel Mcfarley,False
5741,6090_01,Mars,True,F/1259/P,TRAPPIST-1e,36.0,False,0.0,0.0,0.0,0.0,0.0,Cants Bra,True
2829,3054_01,Earth,False,F/579/S,TRAPPIST-1e,13.0,False,578.0,77.0,0.0,306.0,5.0,Celis Bootez,False
2212,2368_01,Mars,False,E/141/P,TRAPPIST-1e,22.0,False,579.0,0.0,267.0,0.0,108.0,Prow Potte,False
2378,2558_01,Mars,False,F/525/P,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Chios Katte,True
7039,7498_02,Mars,True,F/1550/P,TRAPPIST-1e,5.0,False,0.0,0.0,0.0,0.0,0.0,Bonutz Cola,True
4433,4711_01,Mars,False,F/959/P,TRAPPIST-1e,65.0,False,1420.0,0.0,84.0,0.0,0.0,Duckes Datte,False
159,0181_01,Earth,False,G/27/P,TRAPPIST-1e,20.0,False,0.0,0.0,3.0,299.0,92.0,Nancis Brighttt,False
7771,8297_01,,False,F/1592/S,TRAPPIST-1e,21.0,False,5.0,0.0,0.0,22.0,639.0,Hilley Charpelaney,False
7570,8091_01,Earth,False,F/1672/P,TRAPPIST-1e,29.0,False,18.0,7.0,0.0,0.0,779.0,Mela Bushallert,False
5679,6029_01,Earth,False,E/396/S,TRAPPIST-1e,25.0,False,0.0,30.0,20.0,0.0,941.0,Gwenda Balderts,False
2554,2739_01,Earth,True,G/442/P,PSO J318.5-22,38.0,False,0.0,0.0,0.0,,0.0,Heryle Daughessey,True
3775,4031_02,Europa,True,C/131/P,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,Krabik Listive,True
4302,4586_01,Mars,False,F/943/P,55 Cancri e,31.0,False,22.0,0.0,,1.0,524.0,Goats Emead,False
4364,4645_02,Europa,True,B/184/S,TRAPPIST-1e,,False,0.0,0.0,0.0,0.0,0.0,Okula Bacistion,True
1788,1901_02,Europa,True,A/14/P,55 Cancri e,36.0,False,0.0,0.0,0.0,0.0,0.0,Neshath Tractive,True
6778,7157_01,Mars,True,,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,Unchex Must,True
6709,7082_01,Earth,False,E/473/S,TRAPPIST-1e,44.0,False,143.0,47.0,0.0,717.0,87.0,Benew Carezquez,False
3398,3654_02,Earth,False,F/689/S,TRAPPIST-1e,15.0,False,0.0,398.0,0.0,467.0,0.0,Sha Coolerson,False
6626,6990_01,Earth,False,,PSO J318.5-22,21.0,False,1.0,22.0,0.0,649.0,2.0,Lison Franton,False
3605,3871_01,Europa,True,B/149/S,55 Cancri e,47.0,False,0.0,0.0,0.0,0.0,0.0,Megrezn Flourbent,True
9,0008_01,Europa,True,B/1/P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True
7588,8115_02,Europa,True,B/318/S,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,Eltais Prieress,True
3759,4017_04,Mars,True,E/269/S,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Tights Mele,False
3810,4069_01,Earth,False,F/768/S,55 Cancri e,24.0,False,0.0,0.0,2433.0,0.0,53.0,Hen Chenson,True
1139,1210_01,Earth,True,G/179/P,TRAPPIST-1e,45.0,,0.0,0.0,0.0,0.0,0.0,Helean Brooker,True
5603,5965_01,Earth,False,G/964/P,TRAPPIST-1e,22.0,False,0.0,40.0,689.0,0.0,79.0,Ricke Beckerson,True
2351,2532_02,Mars,True,F/489/S,TRAPPIST-1e,69.0,False,0.0,0.0,0.0,0.0,0.0,Goldch Traie,True
1314,1391_03,Mars,False,F/276/P,,44.0,False,485.0,2.0,210.0,0.0,351.0,Frunch Apie,False
3595,3866_01,,False,F/797/P,TRAPPIST-1e,43.0,False,0.0,0.0,7.0,0.0,963.0,Lis Hendrys,False
227,0244_01,Mars,True,,TRAPPIST-1e,43.0,False,0.0,0.0,0.0,0.0,0.0,Froos Sad,True
7517,8038_01,Europa,True,C/301/S,55 Cancri e,,False,0.0,0.0,0.0,0.0,0.0,Alsha Gocent,True
3490,3750_02,Earth,False,G/610/P,TRAPPIST-1e,48.0,False,396.0,0.0,,0.0,297.0,Leony Mayods,False
8191,8755_01,Europa,True,D/265/S,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,Ionons Alvercal,True
2587,2773_01,Mars,False,D/94/S,TRAPPIST-1e,25.0,False,314.0,2.0,648.0,92.0,0.0,Whark Teake,False
3528,3786_01,Mars,False,E/252/S,TRAPPIST-1e,38.0,True,,0.0,1355.0,0.0,0.0,Fispot Birt,False
1705,1811_02,Earth,False,F/347/S,TRAPPIST-1e,,,928.0,20.0,0.0,0.0,0.0,Gerek Georgasey,False
634,0661_01,Europa,False,C/23/P,TRAPPIST-1e,44.0,False,0.0,2506.0,0.0,1360.0,722.0,Misadr Ticagent,False
8511,9081_05,Earth,False,F/1858/P,TRAPPIST-1e,48.0,False,0.0,586.0,784.0,4.0,21.0,Haryn Clemondsey,True
4214,4490_01,Europa,False,D/143/S,55 Cancri e,34.0,False,0.0,337.0,1339.0,92.0,264.0,Sadir Idlatchse,False
4568,4868_01,Earth,False,E/304/P,TRAPPIST-1e,17.0,False,0.0,775.0,0.0,13.0,0.0,Rona Rocholton,True
747,0786_01,Earth,True,G/113/P,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,Robyny Hartz,True
7292,7800_01,Earth,True,G/1251/P,TRAPPIST-1e,15.0,False,0.0,0.0,,0.0,0.0,Alvira Potterry,True
8636,9218_01,Europa,True,B/353/S,55 Cancri e,43.0,False,0.0,0.0,0.0,0.0,0.0,,True
3222,3470_01,Earth,True,G/563/S,TRAPPIST-1e,,False,0.0,0.0,0.0,0.0,0.0,Gory Byerry,False
191,0212_02,Earth,False,F/45/P,TRAPPIST-1e,35.0,False,147.0,188.0,0.0,10.0,387.0,Shally Workmans,False
7501,8024_01,Earth,False,F/1533/S,TRAPPIST-1e,73.0,False,16.0,0.0,722.0,2.0,89.0,Tancis Bushallert,False
5850,6191_04,Europa,True,A/59/P,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,Miatrix Ametic,True
1421,1500_06,Earth,True,G/230/S,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Bobbyn Barbes,True
